Name,IP,K/9,BB/9,HR/9,BABIP,GB%,HR/FB,GB/FB,ERA,xERA,ERA-,SIERA,FIP,xFIP,FIP-,xFIP-,WAR,AVG,WHIP,WPA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,K%,BB%,playerid
Robbie Ray,170.1,11.62,2.32,1.43,0.272,37.90%,15.40%,0.89,2.69,3.46,60,3.14,3.45,3.22,85,75,3.7,0.209,1.03,3.3,33.90%,74.30%,51.60%,50.20%,80.90%,69.60%,43.80%,61.30%,15.70%,32.40%,6.50%,11486
Nestor Cortes,73.1,9.33,2.58,1.23,0.258,30.10%,10.50%,0.61,2.7,3.12,62,3.95,3.8,4.34,87,101,1.2,0.213,1.08,1,29.90%,72.00%,47.80%,72.50%,83.50%,79.50%,42.50%,61.70%,9.80%,25.80%,7.10%,17874
Blake Parker,36.2,6.87,3.19,0.98,0.271,40.50%,9.50%,1.07,2.7,4.29,60,4.56,4.28,4.9,100,114,0.2,0.237,1.25,0.45,31.60%,64.50%,44.80%,66.40%,86.50%,78.10%,40.30%,63.00%,9.80%,18.20%,8.40%,5224
Raisel Iglesias,63,13.43,1.57,1.43,0.276,41.90%,19.20%,1.1,2.71,2.21,63,1.98,2.81,2.22,65,52,1.7,0.195,0.89,2.94,39.40%,71.80%,53.30%,50.70%,69.80%,61.80%,42.90%,67.90%,20.40%,38.70%,4.50%,17130
Jake McGee,59.2,8.75,1.51,1.06,0.228,35.90%,9.30%,0.8,2.72,3.05,67,3.46,3.35,4.06,83,96,1.1,0.194,0.91,2.73,35.50%,77.90%,57.40%,68.90%,87.80%,82.10%,51.60%,66.10%,10.30%,24.30%,4.20%,7550
Trevor Rogers,118.2,10.47,3.26,0.46,0.293,39.30%,5.60%,1.07,2.73,3.49,69,3.81,2.71,3.67,66,87,3.4,0.211,1.15,1.51,33.50%,68.80%,48.70%,55.50%,80.60%,70.80%,43.10%,56.60%,14.20%,28.20%,8.80%,22286
Dustin May,23,13.7,2.35,1.57,0.255,56.00%,40.00%,2.8,2.74,3.19,69,2.44,3.29,1.81,79,42,0.5,0.186,0.96,0.08,29.50%,66.10%,46.20%,52.50%,78.40%,69.40%,45.70%,63.40%,14.10%,37.60%,6.50%,19716
Mychal Givens,45.2,9.66,4.34,1.18,0.284,36.00%,14.60%,1,2.76,4.23,60,4.06,4.3,4.19,97,99,0.3,0.226,1.29,2.08,26.10%,70.60%,44.30%,60.70%,78.10%,72.00%,40.90%,56.90%,12.40%,26.10%,11.70%,10430
Ralph Garza,26,9.35,3.81,1.73,0.226,38.80%,17.90%,0.93,2.77,4.53,65,3.97,4.97,4.39,117,102,-0.1,0.202,1.15,-0.17,32.20%,65.90%,45.90%,63.60%,86.10%,76.80%,40.70%,63.20%,10.70%,25.50%,10.40%,17682
Gerrit Cole,158.2,12.31,1.93,1.08,0.293,42.60%,12.40%,1.04,2.78,2.91,64,2.8,2.65,2.81,61,66,5.2,0.208,0.99,3.7,35.80%,67.80%,49.00%,56.40%,79.40%,69.60%,41.40%,66.90%,14.90%,34.70%,5.40%,13125
Richard Rodriguez,58,6.05,1.4,1.09,0.211,31.80%,7.40%,0.59,2.79,3.78,67,4.54,3.96,5.27,94,125,0.7,0.198,0.88,2.27,30.40%,76.50%,52.50%,65.90%,88.10%,81.40%,47.90%,70.40%,9.70%,17.50%,4.00%,13549
Tony Gonsolin,38.2,10.47,6.52,0.93,0.263,36.70%,9.10%,0.82,2.79,3.78,70,5.08,4.35,5.03,104,119,0.4,0.201,1.47,0.5,27.50%,71.60%,43.60%,53.50%,84.00%,71.80%,36.60%,54.10%,12.30%,26.20%,16.30%,19388
Logan Webb,125.1,9.48,2.3,0.65,0.302,61.10%,14.50%,3.24,2.8,3.38,69,3.2,2.9,2.85,71,67,3.2,0.23,1.11,1.83,34.70%,61.50%,45.80%,54.60%,88.10%,73.20%,41.30%,66.90%,12.30%,26.20%,6.30%,17995
Garrett Crochet,48,11.25,4.69,0.38,0.288,39.10%,4.30%,0.98,2.81,3.24,66,3.79,2.83,3.99,66,93,1.2,0.2,1.27,0.73,26.80%,64.10%,43.40%,56.20%,79.70%,71.70%,44.50%,55.80%,12.30%,29.10%,12.10%,27463
Jordan Sheffield,22.1,6.45,3.63,0.81,0.158,39.00%,8.00%,0.92,2.82,3.89,59,4.81,4.37,5.2,98,123,0.1,0.147,0.9,0.27,23.90%,74.80%,44.90%,61.70%,84.60%,77.50%,41.40%,58.10%,10.10%,18.60%,10.50%,19682
Lucas Luetge,66.2,9.72,2.03,0.81,0.302,41.20%,8.00%,1.03,2.84,3.29,65,3.33,2.98,3.82,68,89,1.3,0.235,1.14,-0.62,36.20%,75.00%,50.50%,60.70%,84.10%,73.50%,36.70%,57.90%,13.40%,25.90%,5.40%,8337
Diego Castillo,50.2,11.55,2.66,1.42,0.234,51.40%,20.50%,1.46,2.84,2.71,68,2.79,3.77,3.09,91,73,0.5,0.183,0.95,1.1,35.00%,68.20%,47.70%,49.10%,85.80%,69.30%,38.30%,57.30%,14.70%,32.70%,7.50%,17496
Craig Stammen,79,8.32,1.48,1.25,0.271,56.60%,17.70%,2.06,2.85,3.54,70,3.16,3.73,3.32,89,78,0.7,0.232,1.05,0.75,32.80%,64.80%,46.00%,59.30%,89.50%,76.80%,41.20%,64.80%,10.70%,23.00%,4.10%,7274
Zack Wheeler,195.1,10.37,1.94,0.74,0.288,49.80%,11.40%,1.76,2.86,2.78,69,3.2,2.66,2.87,61,67,6.5,0.215,1.02,3.1,35.40%,71.90%,51.50%,65.20%,82.70%,76.00%,44.20%,66.60%,12.40%,28.90%,5.40%,10310
Liam Hendriks,63,14,1,1.57,0.252,31.10%,15.70%,0.59,2.86,2.08,67,1.74,2.7,2.41,63,57,2,0.181,0.78,1.26,38.70%,80.40%,56.90%,44.10%,79.60%,66.00%,43.60%,69.20%,19.40%,40.80%,2.90%,3548
Marcus Stroman,163,7.9,2.15,0.77,0.285,50.50%,11.40%,1.89,2.87,4.17,73,3.95,3.35,3.58,80,84,3.4,0.235,1.13,1.49,34.50%,67.60%,48.40%,60.40%,86.50%,75.80%,42.10%,61.90%,11.70%,21.60%,5.90%,13431
Phil Bickford,47,10.34,3.45,1.15,0.257,46.90%,15.40%,1.36,2.87,3.16,72,3.46,3.86,3.68,92,87,0.4,0.201,1.11,1.19,29.20%,72.10%,50.30%,48.10%,83.90%,73.30%,49.10%,61.10%,13.40%,28.40%,9.50%,18519
Spencer Turnbull,50,7.92,2.16,0.36,0.254,57.20%,5.30%,2.08,2.88,3.26,65,3.82,2.94,3.78,68,88,1.6,0.201,0.98,0.85,32.70%,70.40%,49.20%,67.10%,84.50%,78.00%,43.60%,65.70%,10.80%,21.90%,6.00%,16207
Luis Gil,25,11.52,5.4,1.08,0.241,34.40%,8.80%,0.62,2.88,3.09,66,4.43,3.96,4.82,90,112,0.5,0.183,1.28,0.46,29.00%,70.40%,46.60%,60.80%,78.90%,72.50%,42.60%,56.50%,12.80%,29.60%,13.90%,21052
Pierce Johnson,50,11.7,4.32,1.08,0.284,36.00%,12.50%,0.85,2.88,3.67,71,3.47,3.56,3.71,85,88,0.6,0.206,1.22,1.15,31.90%,61.50%,44.10%,51.20%,84.90%,70.60%,41.20%,54.90%,13.00%,31.90%,11.80%,13435
Ryan Tepera,59.1,10.92,2.58,0.61,0.216,44.10%,6.80%,1.02,2.88,2.5,69,2.98,2.67,3.57,63,84,1.6,0.157,0.84,1.79,35.30%,72.10%,49.10%,46.30%,82.90%,66.40%,37.40%,64.90%,16.50%,31.20%,7.40%,10291
Adam Wainwright,190.1,7.9,2.18,0.85,0.254,47.20%,11.30%,1.57,2.88,3.8,72,4.03,3.5,3.77,84,89,3.9,0.213,1.03,3.18,30.30%,60.50%,43.30%,65.80%,90.40%,80.60%,43.00%,63.80%,8.40%,22.00%,6.10%,2233
Wade Miley,155.2,7.05,2.72,0.81,0.288,49.40%,11.10%,1.82,2.89,4.03,68,4.44,3.73,4,86,94,3.1,0.246,1.25,1.76,34.60%,69.60%,46.70%,71.60%,84.30%,78.20%,34.50%,58.00%,10.20%,18.80%,7.30%,8779
Dylan Floro,56,8.36,3.38,0.16,0.293,50.00%,2.10%,1.75,2.89,3.8,73,3.97,2.66,3.96,65,93,1.3,0.227,1.27,-0.12,31.30%,71.60%,48.30%,71.90%,86.40%,81.00%,42.30%,64.30%,9.20%,21.60%,8.70%,13394
Chasen Shreve,46.2,6.94,4.82,1.16,0.234,39.60%,11.50%,1.02,2.89,4.32,70,5.12,4.96,5.27,118,125,-0.2,0.212,1.31,0,34.20%,73.60%,48.00%,65.50%,86.10%,76.50%,34.90%,65.30%,11.30%,18.40%,12.80%,10855
J. D. Hammer,18.2,9.64,3.86,0.96,0.294,41.50%,10.00%,1.1,2.89,3.19,69,3.98,3.86,4.37,88,103,0.2,0.233,1.34,0.07,28.10%,62.30%,41.90%,66.70%,84.90%,77.60%,40.50%,58.50%,9.40%,24.40%,9.80%,19548
Nabil Crismatt,68.1,8.3,2.5,0.92,0.314,53.30%,12.10%,1.81,2.9,3.83,72,3.66,3.84,4.01,91,95,0.4,0.258,1.27,0.28,32.70%,68.50%,46.40%,55.60%,85.80%,72.70%,38.20%,52.90%,12.70%,21.60%,6.50%,17732
Alex Reyes,65,11.63,6.37,0.97,0.233,36.70%,10.40%,0.82,2.91,3.62,72,4.34,4.19,4.63,101,110,0.3,0.173,1.34,-0.91,29.00%,67.90%,44.00%,51.00%,78.90%,67.60%,38.60%,52.60%,14.30%,29.50%,16.10%,15015
Brad Boxberger,58.2,11.35,3.68,0.92,0.244,36.40%,10.70%,0.86,2.91,3.09,70,3.35,3.5,3.87,83,91,0.8,0.18,1.06,1.9,25.60%,68.80%,44.60%,65.70%,74.90%,72.00%,44.00%,56.00%,12.50%,30.70%,10.00%,10133
Danny Coulombe,27.2,8.78,1.95,1.63,0.288,40.80%,16.70%,1.03,2.93,3.43,67,3.51,4.21,3.79,98,89,0.1,0.248,1.16,0.1,35.80%,72.30%,51.60%,57.80%,89.80%,77.30%,43.30%,59.50%,11.70%,24.30%,5.40%,13293
Joe Musgrove,159.2,10.15,2.54,1.01,0.256,44.10%,13.30%,1.33,2.93,3.75,73,3.6,3.52,3.56,84,84,3.3,0.201,1.03,1.62,34.50%,62.20%,46.20%,55.00%,84.60%,71.80%,42.20%,60.90%,13.00%,27.60%,6.90%,12970
Scott Alexander,15.1,4.7,2.35,1.17,0.25,61.10%,16.70%,2.75,2.93,3.51,74,4.18,4.79,4.49,115,106,0,0.242,1.24,-0.16,33.30%,63.20%,45.60%,78.40%,80.60%,79.70%,40.90%,58.20%,9.30%,11.90%,6.00%,10591
Nick Sandlin,33.2,12.83,4.54,0.53,0.271,41.70%,6.90%,1.03,2.94,2.78,66,3.27,2.95,3.72,69,87,0.6,0.175,1.13,1.07,26.60%,59.10%,40.50%,51.10%,82.20%,70.50%,42.60%,48.90%,11.90%,34.00%,12.10%,20517
Tyler Matzek,55,11.62,5.4,0.49,0.26,39.70%,7.10%,1.14,2.95,3.09,70,3.91,3.09,3.74,73,88,1,0.178,1.24,1.39,31.00%,74.30%,48.80%,58.10%,80.40%,72.10%,41.00%,55.20%,13.60%,30.90%,14.30%,10058
Zach Thompson,67,7.39,3.22,0.81,0.247,44.00%,7.80%,1.09,2.96,3.75,75,4.71,3.85,4.73,94,112,1.1,0.211,1.15,-0.27,34.20%,69.90%,48.60%,62.60%,86.40%,76.40%,40.30%,60.30%,11.50%,19.90%,8.70%,16094
Julio Urias,163.1,9.64,1.82,1.05,0.275,39.20%,10.80%,0.96,2.98,3.33,75,3.58,3.27,3.67,78,87,3.9,0.219,1.03,1.52,36.00%,66.90%,50.70%,64.60%,84.30%,76.90%,47.40%,70.60%,11.70%,26.70%,5.00%,14765
Garrett Cleavinger,18,10.5,6,2,0.348,49.00%,23.50%,1.41,3,4.79,75,4.51,5.88,4.68,142,111,-0.3,0.282,1.78,-1.04,24.70%,55.60%,38.80%,43.80%,93.30%,76.10%,45.50%,54.80%,9.30%,25.00%,14.30%,17897
